# x_k, theta_k, xd_k, thetad_k, tau_k, x_k+1, theta_k+1, xd_k+1, thetad_k+1
-3.290363496834580737e-01,1.365353165125091084e-01,3.342887013750183711e-01,2.503371424674483592e+00,-2.617187500000000000e-01,-3.255829874911463917e-01,1.644502638168731101e-01,3.454848147086821419e-01,2.943325636755573793e+00
-3.255829874911463917e-01,1.644502638168731101e-01,3.454848147086821419e-01,2.943325636755573793e+00,-3.320312500000000000e-01,-3.221296252988347097e-01,1.965849502904761792e-01,3.455754844839862283e-01,3.314037660494603799e+00
-3.221296252988347097e-01,1.965849502904761792e-01,3.455754844839862283e-01,3.314037660494603799e+00,-4.375000000000000000e-01,-3.188143975942154817e-01,2.314083735192873914e-01,3.302475435790313552e-01,3.505785258980308683e+00
-3.188143975942154817e-01,2.314083735192873914e-01,3.302475435790313552e-01,3.505785258980308683e+00,4.335937500000000000e-01,-3.157754388649812172e-01,2.609602639877609542e-01,3.040701532446468680e-01,2.814428639995739001e+00
-3.157754388649812172e-01,2.609602639877609542e-01,3.040701532446468680e-01,2.814428639995739001e+00,3.554687500000000000e-01,-3.128746146234393510e-01,2.835780970684353974e-01,2.881658547580874807e-01,2.101766732290534900e+00
-3.128746146234393510e-01,2.835780970684353974e-01,2.881658547580874807e-01,2.101766732290534900e+00,3.007812500000000000e-01,-3.102500593572824483e-01,3.021866868666045480e-01,2.609130537570312769e-01,1.686313602238173726e+00
-3.102500593572824483e-01,3.021866868666045480e-01,2.609130537570312769e-01,1.686313602238173726e+00,2.382812500000000000e-01,-3.079017730665105090e-01,3.158760389267159518e-01,2.345771787779839801e-01,1.341167924963904357e+00
-3.079017730665105090e-01,3.158760389267159518e-01,2.345771787779839801e-01,1.341167924963904357e+00,1.992187500000000000e-01,-3.058297557511235332e-01,3.262082562465236646e-01,2.092876704153384670e-01,9.747169589690011238e-01
-3.058297557511235332e-01,3.262082562465236646e-01,2.092876704153384670e-01,9.747169589690011238e-01,1.757812500000000000e-01,-3.034814694603515384e-01,3.345512407769450358e-01,1.742274567064669710e-01,8.564726065694830970e-01
-3.034814694603515384e-01,3.345512407769450358e-01,1.742274567064669710e-01,8.564726065694830970e-01,1.914062500000000000e-01,-3.025145280465042497e-01,3.422758584960166051e-01,1.454053578038603800e-01,8.000135914598032194e-01
-3.025145280465042497e-01,3.422758584960166051e-01,1.454053578038603800e-01,8.000135914598032194e-01,1.328125000000000000e-01,-3.012713176572720530e-01,3.496949219057557401e-01,1.256906500602175958e-01,8.245146734885321349e-01
-3.012713176572720530e-01,3.496949219057557401e-01,1.256906500602175958e-01,8.245146734885321349e-01,1.250000000000000000e-01,-3.000281072680398564e-01,3.555208630429426697e-01,1.170303058712224425e-01,5.230448380915624362e-01
-3.000281072680398564e-01,3.555208630429426697e-01,1.170303058712224425e-01,5.230448380915624362e-01,1.132812500000000000e-01,-2.991993003418850217e-01,3.594846481395569393e-01,8.737415687927641006e-02,4.623247652377557859e-01
-2.991993003418850217e-01,3.594846481395569393e-01,8.737415687927641006e-02,4.623247652377557859e-01,1.015625000000000000e-01,-2.986467623911152058e-01,3.622947312962044308e-01,5.494990247932848154e-02,2.727076956241139549e-01
-2.986467623911152058e-01,3.622947312962044308e-01,5.494990247932848154e-02,2.727076956241139549e-01,9.765625000000000000e-02,-2.980942244403453345e-01,3.636795382660147902e-01,5.541370898249670107e-02,1.065264436031695267e-01
-2.980942244403453345e-01,3.636795382660147902e-01,5.541370898249670107e-02,1.065264436031695267e-01,8.593750000000000000e-02,-2.976798209772679171e-01,3.627778062062589348e-01,4.182228351297991725e-02,-6.711165946999679555e-02
-2.976798209772679171e-01,3.627778062062589348e-01,4.182228351297991725e-02,-6.711165946999679555e-02,5.859375000000000000e-02,-2.975416864895754077e-01,3.613621998712026051e-01,1.342271416612295966e-02,-1.416801699922154711e-01
-2.975416864895754077e-01,3.613621998712026051e-01,1.342271416612295966e-02,-1.416801699922154711e-01,5.078125000000000000e-02,-2.974035520018829537e-01,3.590928409278438260e-01,1.245331515489602088e-02,-1.619201942768176694e-01
-2.974035520018829537e-01,3.590928409278438260e-01,1.245331515489602088e-02,-1.619201942768176694e-01,2.343750000000000000e-02,-2.974035520018829537e-01,3.573592337152220466e-01,-0.000000000000000000e+00,-8.415589044650392814e-02
-2.974035520018829537e-01,3.573592337152220466e-01,-0.000000000000000000e+00,-8.415589044650392814e-02,-0.000000000000000000e+00,-2.974035520018829537e-01,3.577367576740986266e-01,-0.000000000000000000e+00,1.257012034517400456e-01
-2.974035520018829537e-01,3.577367576740986266e-01,-0.000000000000000000e+00,1.257012034517400456e-01,-3.125000000000000000e-02,-2.974035520018829537e-01,3.602539751408856405e-01,-0.000000000000000000e+00,3.643204371228397909e-01
-2.974035520018829537e-01,3.602539751408856405e-01,-0.000000000000000000e+00,3.643204371228397909e-01,-7.812500000000000000e-02,-2.974035520018829537e-01,3.648562273556609781e-01,-0.000000000000000000e+00,5.550027711725131763e-01
-2.974035520018829537e-01,3.648562273556609781e-01,-0.000000000000000000e+00,5.550027711725131763e-01,-1.328125000000000000e-01,-2.974035520018829537e-01,3.716243193486686858e-01,-0.000000000000000000e+00,7.648598650707572055e-01
