# x_k, theta_k, xd_k, thetad_k, tau_k, x_k+1, theta_k+1, xd_k+1, thetad_k+1
-2.748876305080107454e-02,-8.310688993746574715e-02,-6.445985116780578172e-02,-7.030745277809188898e-02,-1.914062500000000000e-01,-2.817943548926341024e-02,-8.422690463349757906e-02,-7.266933000532616038e-02,-1.331580545039618979e-01
-2.817943548926341024e-02,-8.422690463349757906e-02,-7.266933000532616038e-02,-1.331580545039618979e-01,-1.914062500000000000e-01,-2.887010792772575288e-02,-8.415387180960244573e-02,-6.855895705335256218e-02,5.539375067364815663e-02
-2.887010792772575288e-02,-8.415387180960244573e-02,-6.855895705335256218e-02,5.539375067364815663e-02,-1.835937500000000000e-01,-2.942264587849562074e-02,-8.438899805403234089e-02,-5.491734921957026200e-02,-7.137271721412358216e-02
-2.942264587849562074e-02,-8.438899805403234089e-02,-5.491734921957026200e-02,-7.137271721412358216e-02,-1.796875000000000000e-01,-2.983704934157302077e-02,-8.455658468462751154e-02,-4.273960122945287543e-02,-1.171790879634864758e-02
-2.983704934157302077e-02,-8.455658468462751154e-02,-4.273960122945287543e-02,-1.171790879634864758e-02,-1.796875000000000000e-01,-3.038958729234289904e-02,-8.492100911379099615e-02,-5.391443845680824604e-02,-5.113269292952137696e-02
-3.038958729234289904e-02,-8.492100911379099615e-02,-5.391443845680824604e-02,-5.113269292952137696e-02,-1.601562500000000000e-01,-3.080399075542029907e-02,-8.519973353196792776e-02,-4.253772797531606142e-02,-2.024002428460220868e-02
-3.080399075542029907e-02,-8.519973353196792776e-02,-4.253772797531606142e-02,-2.024002428460220868e-02,-1.679687500000000000e-01,-3.135652870619017041e-02,-8.531490657619252016e-02,-5.381678324932924473e-02,-3.089266864491916134e-02
-3.135652870619017041e-02,-8.531490657619252016e-02,-5.381678324932924473e-02,-3.089266864491916134e-02,-1.523437500000000000e-01,-3.163279768157510607e-02,-8.520507029493874784e-02,-2.636952571588040486e-02,4.580637074936289715e-02
-3.163279768157510607e-02,-8.520507029493874784e-02,-2.636952571588040486e-02,4.580637074936289715e-02,-1.406250000000000000e-01,-3.204720114465250957e-02,-8.509100450910210556e-02,-4.334823310470675706e-02,-1.278317323238034424e-02
-3.204720114465250957e-02,-8.509100450910210556e-02,-4.334823310470675706e-02,-1.278317323238034424e-02,-1.406250000000000000e-01,-3.232347012003744524e-02,-8.510989250709145859e-02,-2.784199688923166133e-02,1.065264436031695136e-03
-3.232347012003744524e-02,-8.510989250709145859e-02,-2.784199688923166133e-02,1.065264436031695136e-03,-1.289062500000000000e-01,-3.246160460772991307e-02,-8.480685827988455883e-02,-1.409061808128938588e-02,5.326322180158476333e-03
-3.246160460772991307e-02,-8.480685827988455883e-02,-1.409061808128938588e-02,5.326322180158476333e-03,-1.132812500000000000e-01,-3.273787358311484874e-02,-8.424611250291599851e-02,-2.734979391363605988e-02,8.628641931856731451e-02
-3.273787358311484874e-02,-8.424611250291599851e-02,-2.734979391363605988e-02,8.628641931856731451e-02,-1.132812500000000000e-01,-3.287600807080731657e-02,-8.335124890475092974e-02,-1.256376524485472435e-02,1.182443523995181656e-01
-3.287600807080731657e-02,-8.335124890475092974e-02,-1.256376524485472435e-02,1.182443523995181656e-01,-1.093750000000000000e-01,-3.301414255849977747e-02,-8.215186268353819043e-02,-1.437305964441719028e-02,1.001348569869793398e-01
-3.301414255849977747e-02,-8.215186268353819043e-02,-1.437305964441719028e-02,1.001348569869793398e-01,-8.984375000000000000e-02,-3.301414255849977747e-02,-7.995489385895095114e-02,-0.000000000000000000e+00,2.641855801358604094e-01
-3.301414255849977747e-02,-7.995489385895095114e-02,-0.000000000000000000e+00,2.641855801358604094e-01,-8.984375000000000000e-02,-3.301414255849977747e-02,-7.827783894577164392e-02,-0.000000000000000000e+00,1.363538478120569775e-01
-3.301414255849977747e-02,-7.827783894577164392e-02,-0.000000000000000000e+00,1.363538478120569775e-01,-8.593750000000000000e-02,-3.301414255849977747e-02,-7.710553808775118256e-02,-0.000000000000000000e+00,8.522115488253562132e-02
-3.301414255849977747e-02,-7.710553808775118256e-02,-0.000000000000000000e+00,8.522115488253562132e-02,-7.812500000000000000e-02,-3.301414255849977747e-02,-7.660090262970178920e-02,-0.000000000000000000e+00,3.941478413317272417e-02
-3.301414255849977747e-02,-7.660090262970178920e-02,-0.000000000000000000e+00,3.941478413317272417e-02,-7.031250000000000000e-02,-3.301414255849977747e-02,-7.674574174948915750e-02,-0.000000000000000000e+00,-2.876213977285577150e-02
-3.301414255849977747e-02,-7.674574174948915750e-02,-0.000000000000000000e+00,-2.876213977285577150e-02,-5.468750000000000000e-02,-3.301414255849977747e-02,-7.750121144434428400e-02,-0.000000000000000000e+00,-9.693906367888426023e-02
-3.301414255849977747e-02,-7.750121144434428400e-02,-0.000000000000000000e+00,-9.693906367888426023e-02,-3.906250000000000000e-02,-3.301414255849977747e-02,-7.885639242240868874e-02,-0.000000000000000000e+00,-1.555286076606275103e-01
-3.301414255849977747e-02,-7.885639242240868874e-02,-0.000000000000000000e+00,-1.555286076606275103e-01,-2.343750000000000000e-02,-3.301414255849977747e-02,-8.085780842112788580e-02,-0.000000000000000000e+00,-2.183792093864975192e-01
-3.301414255849977747e-02,-8.085780842112788580e-02,-0.000000000000000000e+00,-2.183792093864975192e-01,-3.906250000000000000e-03,-3.301414255849977747e-02,-8.352886276108471841e-02,-0.000000000000000000e+00,-2.865561332925259941e-01
-3.301414255849977747e-02,-8.352886276108471841e-02,-0.000000000000000000e+00,-2.865561332925259941e-01,1.562500000000000000e-02,-3.301414255849977747e-02,-8.681285675669782320e-02,-0.000000000000000000e+00,-3.504719994544277517e-01
-3.301414255849977747e-02,-8.681285675669782320e-02,-0.000000000000000000e+00,-3.504719994544277517e-01,4.296875000000000000e-02,-3.301414255849977747e-02,-9.076957457713630273e-02,-0.000000000000000000e+00,-4.175836589244245611e-01
-3.301414255849977747e-02,-9.076957457713630273e-02,-0.000000000000000000e+00,-4.175836589244245611e-01,6.640625000000000000e-02,-3.301414255849977747e-02,-9.529162441688501795e-02,-0.000000000000000000e+00,-4.665858229818825587e-01
-3.301414255849977747e-02,-9.529162441688501795e-02,-0.000000000000000000e+00,-4.665858229818825587e-01,9.765625000000000000e-02,-3.301414255849977747e-02,-1.002155041729826807e-01,-0.000000000000000000e+00,-5.028048138069601825e-01
-3.301414255849977747e-02,-1.002155041729826807e-01,-0.000000000000000000e+00,-5.028048138069601825e-01,1.406250000000000000e-01,-3.287600807080731657e-02,-1.057506644189590145e-01,1.427144947327282920e-02,-5.741775310210837091e-01
-3.287600807080731657e-02,-1.057506644189590145e-01,1.427144947327282920e-02,-5.741775310210837091e-01,1.796875000000000000e-01,-3.287600807080731657e-02,-1.109163535779764259e-01,-0.000000000000000000e+00,-5.155879870393405007e-01
-3.287600807080731657e-02,-1.109163535779764259e-01,-0.000000000000000000e+00,-5.155879870393405007e-01,2.148437500000000000e-01,-3.287600807080731657e-02,-1.159093471928571428e-01,-0.000000000000000000e+00,-5.038700782429919034e-01
-3.287600807080731657e-02,-1.159093471928571428e-01,-0.000000000000000000e+00,-5.038700782429919034e-01,2.773437500000000000e-01,-3.287600807080731657e-02,-1.209042075571726688e-01,-0.000000000000000000e+00,-4.900216405745798642e-01
-3.287600807080731657e-02,-1.209042075571726688e-01,-0.000000000000000000e+00,-4.900216405745798642e-01,3.320312500000000000e-01,-3.287600807080731657e-02,-1.264104709713378960e-01,-0.000000000000000000e+00,-5.475459201202913517e-01
-3.287600807080731657e-02,-1.264104709713378960e-01,-0.000000000000000000e+00,-5.475459201202913517e-01,4.023437500000000000e-01,-3.273787358311484874e-02,-1.316519835518272785e-01,1.417265250162611477e-02,-4.964132271907699678e-01
-3.273787358311484874e-02,-1.316519835518272785e-01,1.417265250162611477e-02,-4.964132271907699678e-01,4.570312500000000000e-01,-3.232347012003744524e-02,-1.349071761625538768e-01,4.188678674569572269e-02,-1.928128629217368273e-01
-3.232347012003744524e-02,-1.349071761625538768e-01,4.188678674569572269e-02,-1.928128629217368273e-01,-4.882812500000000000e-01,-3.149466319388263824e-02,-1.341510346332160097e-01,7.529768461452587824e-02,1.491370210444373512e-01
-3.149466319388263824e-02,-1.341510346332160097e-01,7.529768461452587824e-02,1.491370210444373512e-01,-4.765625000000000000e-01,-3.052772178003536341e-02,-1.300411365626859550e-01,1.051911876505063764e-01,4.452805342612485839e-01
